"x"
"1" "Trial01_KrilLR11"
"2" "Trial01_KrilLR12"
"3" "Trial01_KrilLR13"
"4" "Trial01_KrilLR14"
"5" "Trial01_KrilLR15"
"6" "Trial01_KrilLR16"
"7" "Trial01_KrilLR17"
"8" "Trial01_KrilLR18"
"9" "Trial01_KrilLR19"
"10" "Trial01_KrILR110"
"11" "Trial01_KriLR111"
"12" "Trial01_KriLR112"
"13" "Trial01_KriLR113"
"14" "Trial01_KriLR114"
"15" "Trial01_KriLR115"
"16" "Trial01_KriLR116"
"17" "Trial01_KriLR117"
"18" "Trial01_KriLR118"
"19" "Trial01_KriLR119"
"20" "Trial02_KriLR220"
"21" "Trial02_KriLR221"
"22" "Trial02_KriLR222"
"23" "Trial02_KriLR223"
"24" "Trial02_KriLR224"
"25" "Trial02_KriLR225"
"26" "Trial02_KriLR226"
"27" "Trial02_KriLR227"
"28" "Trial02_KriLR228"
"29" "Trial02_KriLR229"
"30" "Trial02_KriLR230"
"31" "Trial02_KriLR231"
"32" "Trial02_KriLR232"
"33" "Trial02_KriLR233"
"34" "Trial02_KriLR234"
"35" "Trial02_KriLR235"
"36" "Trial02_KriLR236"
"37" "Trial02_KriLR237"
"38" "Trial02_KriLR238"
"39" "Trial03_KRLr3_39"
"40" "Trial03_KRLr3_40"
"41" "Trial03_KRLr3_41"
"42" "Trial03_KRLr3_42"
"43" "Trial03_KRLr3_43"
"44" "Trial03_KRLr3_44"
"45" "Trial03_KRLr3_45"
"46" "Trial03_KRLr3_46"
"47" "Trial03_KRLr3_47"
"48" "Trial03_KRLr3_48"
"49" "Trial03_KRLr3_49"
"50" "Trial03_KRLr3_50"
"51" "Trial03_KRLr3_51"
"52" "Trial03_KRLr3_52"
"53" "Trial03_KRLr3_53"
"54" "Trial03_KRLr3_54"
"55" "Trial03_KRLr3_55"
"56" "Trial03_KRLr3_56"
"57" "Trial03_KRLr3_57"
"58" "Trial04_KRLr4_58"
"59" "Trial04_KRLr4_59"
"60" "Trial04_KRLr4_60"
"61" "Trial04_KRLr4_61"
"62" "Trial04_KRLr4_62"
"63" "Trial04_KRLr4_63"
"64" "Trial04_KRLr4_64"
"65" "Trial04_KRLr4_65"
"66" "Trial04_KRLr4_66"
"67" "Trial04_KRLr4_67"
"68" "Trial04_KRLr4_68"
"69" "Trial04_KRLr4_69"
"70" "Trial04_KRLr4_70"
"71" "Trial04_KRLr4_71"
"72" "Trial04_KRLr4_72"
"73" "Trial04_KRLr4_73"
"74" "Trial04_KRLr4_74"
"75" "Trial04_KRLr4_75"
"76" "Trial04_KRLr4_76"
