Exported with PreSens Datamanager V2.0.0.57
Date;Time;User;SensorID;SensorName;delta_t;Unit;Value;Unit;Mode;Phase;Unit;Amplitude;Unit;Temp;Unit;patm;Unit;Salinity;Unit;Error;Cal0;Unit;T0;Unit;O2-2nd;Unit;Cal2nd;Unit;T2nd;Unit;CalPressure;Unit;f1;dPhi1;dkSv1;dPhi2;dkSv2;m;Cal Mode;SignalLEDCurrent;ReferenceLEDCurrent;ReferenceAmplitude;DeviceSerial;FwVersion;SensorType;BatchID;Calibration Date;Sensor lot;PreSens calibrated Sensor;Battery Voltage;Unit
28-Oct-2019;14:25:01;default              ;159906405 ;KrilLR11             ;0.00;min;9.727;mg/l;humid;27.854;deg;3400;uV;11.000;°C;1013.000;mbar;30.3;pmil;1;59.000;deg;20.000;°C;100.000;%a.s.;27.000;deg;20.000;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;48.997;38784;SAAA0005000123;     p1.4.0.6 ;PSt3;191028-0;191028;194400;1;6.146;V;
28-Oct-2019;14:25:02;default              ;159906405 ;KrilLR11             ;0.02;min;9.579;mg/l;humid;28.019;deg;3764;uV;11.000;°C;1013.000;mbar;30.3;pmil;1;59.000;deg;20.000;°C;100.000;%a.s.;27.000;deg;20.000;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;48.997;38753;SAAA0005000123;     p1.4.0.6 ;PSt3;191028-0;191028;194400;1;6.100;V;
28-Oct-2019;14:25:03;default              ;159906405 ;KrilLR11             ;0.03;min;9.450;mg/l;humid;28.165;deg;4358;uV;11.000;°C;1013.000;mbar;30.3;pmil;1;59.000;deg;20.000;°C;100.000;%a.s.;27.000;deg;20.000;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;48.997;38750;SAAA0005000123;     p1.4.0.6 ;PSt3;191028-0;191028;194400;1;6.100;V;
28-Oct-2019;14:25:04;default              ;159906405 ;KrilLR11             ;0.05;min;---;mg/l;humid;0.407;deg;142;uV;11.000;°C;1013.000;mbar;30.3;pmil;3;59.000;deg;20.000;°C;100.000;%a.s.;27.000;deg;20.000;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;48.997;38751;SAAA0005000123;     p1.4.0.6 ;PSt3;191028-0;191028;194400;1;6.099;V;
28-Oct-2019;14:25:53;default              ;159906405 ;KrilLR11             ;0.87;min;9.109;mg/l;humid;28.563;deg;8021;uV;11.000;°C;1013.000;mbar;30.3;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;27.000;deg;20.000;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;48.997;38789;SAAA0005000123;     p1.4.0.6 ;PSt3;191028-0;191028;194400;1;6.142;V;
28-Oct-2019;14:25:54;default              ;159906405 ;KrilLR11             ;0.88;min;8.949;mg/l;humid;28.757;deg;12046;uV;11.000;°C;1013.000;mbar;30.3;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;27.000;deg;20.000;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;48.997;38756;SAAA0005000123;     p1.4.0.6 ;PSt3;191028-0;191028;194400;1;6.134;V;
28-Oct-2019;14:25:55;default              ;159906405 ;KrilLR11             ;0.90;min;8.901;mg/l;humid;28.815;deg;12223;uV;11.000;°C;1013.000;mbar;30.3;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;27.000;deg;20.000;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;48.997;38762;SAAA0005000123;     p1.4.0.6 ;PSt3;191028-0;191028;194400;1;6.133;V;
28-Oct-2019;14:25:56;default              ;159906405 ;KrilLR11             ;0.92;min;8.955;mg/l;humid;28.749;deg;11341;uV;11.000;°C;1013.000;mbar;30.3;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;27.000;deg;20.000;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;48.997;38757;SAAA0005000123;     p1.4.0.6 ;PSt3;191028-0;191028;194400;1;6.132;V;
28-Oct-2019;14:26:03;default              ;222108333 ;KrilLR12             ;1.03;min;11.214;mg/l;humid;26.353;deg;1625;uV;11.000;°C;1013.000;mbar;30.3;pmil;4;59.000;deg;20.000;°C;100.000;%a.s.;27.000;deg;20.000;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;48.997;38788;SAAA0005000123;     p1.4.0.6 ;PSt3;191028-0;191028;194400;1;6.141;V;
28-Oct-2019;14:26:04;default              ;222108333 ;KrilLR12             ;1.05;min;9.883;mg/l;humid;27.684;deg;3014;uV;11.000;°C;1013.000;mbar;30.3;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;27.000;deg;20.000;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;48.997;38767;SAAA0005000123;     p1.4.0.6 ;PSt3;191028-0;191028;194400;1;6.129;V;
