Exported with PreSens Datamanager V2.0.0.57
Date;Time;User;SensorID;SensorName;delta_t;Unit;Value;Unit;Mode;Phase;Unit;Amplitude;Unit;Temp;Unit;patm;Unit;Salinity;Unit;Error;Cal0;Unit;T0;Unit;O2-2nd;Unit;Cal2nd;Unit;T2nd;Unit;CalPressure;Unit;f1;dPhi1;dkSv1;dPhi2;dkSv2;m;Cal Mode;SignalLEDCurrent;ReferenceLEDCurrent;ReferenceAmplitude;DeviceSerial;FwVersion;SensorType;BatchID;Calibration Date;Sensor lot;PreSens calibrated Sensor;Battery Voltage;Unit
28-Oct-2019;18:55:21;default              ;168568509 ;KriLR220             ;0.00;min;8.249;mg/l;humid;29.654;deg;38410;uV;11.000;°C;1013.000;mbar;30.3;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;27.000;deg;20.000;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;48.997;37038;SAAA0005000123;     p1.4.0.6 ;PSt3;191028-0;191028;194400;1;6.013;V;
28-Oct-2019;18:55:22;default              ;168568509 ;KriLR220             ;0.02;min;8.256;mg/l;humid;29.644;deg;38839;uV;11.000;°C;1013.000;mbar;30.3;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;27.000;deg;20.000;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;48.997;37027;SAAA0005000123;     p1.4.0.6 ;PSt3;191028-0;191028;194400;1;6.006;V;
28-Oct-2019;18:55:23;default              ;168568509 ;KriLR220             ;0.03;min;8.272;mg/l;humid;29.623;deg;29106;uV;11.000;°C;1013.000;mbar;30.3;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;27.000;deg;20.000;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;48.997;37018;SAAA0005000123;     p1.4.0.6 ;PSt3;191028-0;191028;194400;1;6.006;V;
28-Oct-2019;18:55:24;default              ;168568509 ;KriLR220             ;0.05;min;8.259;mg/l;humid;29.641;deg;46439;uV;11.000;°C;1013.000;mbar;30.3;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;27.000;deg;20.000;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;48.997;37019;SAAA0005000123;     p1.4.0.6 ;PSt3;191028-0;191028;194400;1;6.008;V;
28-Oct-2019;18:55:33;default              ;133431320 ;KriLR221             ;0.20;min;8.628;mg/l;humid;29.157;deg;36723;uV;11.000;°C;1013.000;mbar;30.3;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;27.000;deg;20.000;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;48.997;37058;SAAA0005000123;     p1.4.0.6 ;PSt3;191028-0;191028;194400;1;6.008;V;
28-Oct-2019;18:55:34;default              ;133431320 ;KriLR221             ;0.22;min;8.631;mg/l;humid;29.153;deg;36591;uV;11.000;°C;1013.000;mbar;30.3;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;27.000;deg;20.000;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;48.997;37019;SAAA0005000123;     p1.4.0.6 ;PSt3;191028-0;191028;194400;1;6.005;V;
28-Oct-2019;18:55:35;default              ;133431320 ;KriLR221             ;0.23;min;8.641;mg/l;humid;29.141;deg;38194;uV;11.000;°C;1013.000;mbar;30.3;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;27.000;deg;20.000;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;48.997;37020;SAAA0005000123;     p1.4.0.6 ;PSt3;191028-0;191028;194400;1;6.005;V;
28-Oct-2019;18:55:36;default              ;133431320 ;KriLR221             ;0.25;min;8.628;mg/l;humid;29.157;deg;38145;uV;11.000;°C;1013.000;mbar;30.3;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;27.000;deg;20.000;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;48.997;37030;SAAA0005000123;     p1.4.0.6 ;PSt3;191028-0;191028;194400;1;6.005;V;
28-Oct-2019;18:55:42;default              ;210484113 ;KriLR222             ;0.35;min;8.651;mg/l;humid;29.128;deg;36203;uV;11.000;°C;1013.000;mbar;30.3;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;27.000;deg;20.000;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;48.997;37059;SAAA0005000123;     p1.4.0.6 ;PSt3;191028-0;191028;194400;1;6.009;V;
28-Oct-2019;18:55:43;default              ;210484113 ;KriLR222             ;0.37;min;8.652;mg/l;humid;29.127;deg;34998;uV;11.000;°C;1013.000;mbar;30.3;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;27.000;deg;20.000;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;48.997;37025;SAAA0005000123;     p1.4.0.6 ;PSt3;191028-0;191028;194400;1;6.004;V;
