Exported with PreSens Datamanager V2.0.0.57
Date;Time;User;SensorID;SensorName;delta_t;Unit;Value;Unit;Mode;Phase;Unit;Amplitude;Unit;Temp;Unit;patm;Unit;Salinity;Unit;Error;Cal0;Unit;T0;Unit;O2-2nd;Unit;Cal2nd;Unit;T2nd;Unit;CalPressure;Unit;f1;dPhi1;dkSv1;dPhi2;dkSv2;m;Cal Mode;SignalLEDCurrent;ReferenceLEDCurrent;ReferenceAmplitude;DeviceSerial;FwVersion;SensorType;BatchID;Calibration Date;Sensor lot;PreSens calibrated Sensor;Battery Voltage;Unit
29-Oct-2019;14:06:22;default              ;744348340 ;KRLr3_39             ;0.00;min;8.237;mg/l;humid;28.391;deg;7812;uV;14.100;°C;1013.000;mbar;30.3;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;27.000;deg;20.000;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;48.997;39016;SAAA0005000123;     p1.4.0.6 ;PSt3;191029-0;191029;194400;1;6.186;V;
29-Oct-2019;14:06:23;default              ;744348340 ;KRLr3_39             ;0.02;min;8.111;mg/l;humid;28.559;deg;12103;uV;14.100;°C;1013.000;mbar;30.3;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;27.000;deg;20.000;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;48.997;38972;SAAA0005000123;     p1.4.0.6 ;PSt3;191029-0;191029;194400;1;6.185;V;
29-Oct-2019;14:06:24;default              ;744348340 ;KRLr3_39             ;0.03;min;7.975;mg/l;humid;28.743;deg;24516;uV;14.100;°C;1013.000;mbar;30.3;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;27.000;deg;20.000;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;48.997;38995;SAAA0005000123;     p1.4.0.6 ;PSt3;191029-0;191029;194400;1;6.185;V;
29-Oct-2019;14:06:25;default              ;744348340 ;KRLr3_39             ;0.05;min;7.947;mg/l;humid;28.782;deg;31366;uV;14.100;°C;1013.000;mbar;30.3;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;27.000;deg;20.000;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;48.997;38998;SAAA0005000123;     p1.4.0.6 ;PSt3;191029-0;191029;194400;1;6.186;V;
29-Oct-2019;14:06:32;default              ;151487626 ;KRLr3_40             ;0.17;min;8.206;mg/l;humid;28.432;deg;6049;uV;14.100;°C;1013.000;mbar;30.3;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;27.000;deg;20.000;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;48.997;39020;SAAA0005000123;     p1.4.0.6 ;PSt3;191029-0;191029;194400;1;6.186;V;
29-Oct-2019;14:06:33;default              ;151487626 ;KRLr3_40             ;0.18;min;8.033;mg/l;humid;28.664;deg;9115;uV;14.100;°C;1013.000;mbar;30.3;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;27.000;deg;20.000;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;48.997;38997;SAAA0005000123;     p1.4.0.6 ;PSt3;191029-0;191029;194400;1;6.186;V;
29-Oct-2019;14:06:34;default              ;151487626 ;KRLr3_40             ;0.20;min;7.955;mg/l;humid;28.771;deg;12176;uV;14.100;°C;1013.000;mbar;30.3;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;27.000;deg;20.000;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;48.997;38993;SAAA0005000123;     p1.4.0.6 ;PSt3;191029-0;191029;194400;1;6.185;V;
29-Oct-2019;14:06:35;default              ;151487626 ;KRLr3_40             ;0.22;min;7.961;mg/l;humid;28.763;deg;13001;uV;14.100;°C;1013.000;mbar;30.3;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;27.000;deg;20.000;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;48.997;38986;SAAA0005000123;     p1.4.0.6 ;PSt3;191029-0;191029;194400;1;6.186;V;
29-Oct-2019;14:06:42;default              ;116350437 ;KRLr3_41             ;0.33;min;8.002;mg/l;humid;28.706;deg;17365;uV;14.100;°C;1013.000;mbar;30.3;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;27.000;deg;20.000;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;48.997;39032;SAAA0005000123;     p1.4.0.6 ;PSt3;191029-0;191029;194400;1;6.185;V;
29-Oct-2019;14:06:43;default              ;116350437 ;KRLr3_41             ;0.35;min;7.969;mg/l;humid;28.751;deg;21480;uV;14.100;°C;1013.000;mbar;30.3;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;27.000;deg;20.000;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;48.997;38978;SAAA0005000123;     p1.4.0.6 ;PSt3;191029-0;191029;194400;1;6.185;V;
29-Oct-2019;14:06:44;default              ;116350437 ;KRLr3_41             ;0.37;min;7.961;mg/l;humid;28.763;deg;21700;uV;14.100;°C;1013.000;mbar;30.3;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;27.000;deg;20.000;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;48.997;38995;SAAA0005000123;     p1.4.0.6 ;PSt3;191029-0;191029;194400;1;6.186;V;
